,Class_01,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_01,0.179,-0.064,14
Iteration_0.2,Class_01,0.252,0.045,9
Iteration_0.3,Class_01,0.272,0.015,8
Iteration_0.4,Class_01,0.271,0.271,9
iteraction_0.5,Class_01,0.371,0.076,6
Iteration_06,Class_01,0.344,0.124,5
Iteration_07,Class_01,0.406,0.206,5
iteration_08,Class_01,0.415,0.264,4
Iteration _0.9,Class_01,0.402,0.328,4
Iteration_1.0,Class_01,0.399,0.399,3
iteration_2.0,Class_01,0.372,1.244,2
