,Class_02,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_02,0.118,-0.016,39
Iteration_0.2,Class_02,0.13,-0.003,31
Iteration_0.3,Class_02,0.125,0.014,34
Iteration_0.4,Class_02,0.142,0.031,26
iteraction_0.5,Class_02,0.151,0.048,22
Iteration_06,Class_02,0.151,0.067,19
Iteration_07,Class_02,0.159,0.086,14
iteration_08,Class_02,0.171,0.116,10
Iteration _0.9,Class_02,0.171,0.138,8
Iteration_1.0,Class_02,0.199,0.199,5
iteration_2.0,Class_02,0.001,1,3
