,Class_03,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_03,0.295,-0.002,55
Iteration_0.2,Class_03,0.345,0.028,36
Iteration_0.3,Class_03,0.352,0.063,28
Iteration_0.4,Class_03,0.412,0.104,21
iteraction_0.5,Class_03,0.392,0.149,18
Iteration_06,Class_03,0.448,0.208,12
Iteration_07,Class_03,0.460 ,0.274,9
iteration_08,Class_03,0.471,0.331,6
Iteration _0.9,Class_03,0.482,0.409,6
Iteration_1.0,Class_03,0.483,0.483,5
iteration_2.0,Class_03,0.433,1.235,3
