,Class_01,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_01,0.884,0.082,166
Iteration_0.2,Class_01,0.905,0.172,108
Iteration_0.3,Class_01,0.921,0.266,80
Iteration_0.4,Class_01,0.927,0.359,61
iteraction_0.5,Class_01,0.931,0.454,53
Iteration_06,Class_01,0.932,0.549,47
Iteration_07,Class_01,0.930 ,0.643,46
iteration_08,Class_01,0.932,0.740 ,44
Iteration _0.9,Class_01,0.933,0.837,42
Iteration_1.0,Class_01,0.932,0.932,37
iteration_2.0,Class_01,0.927,1.902,25
