,Class_02,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_02,0.886,0.082,163
Iteration_0.2,Class_02,0.913,0.172,101
Iteration_0.3,Class_02,0.921,0.265,101
Iteration_0.4,Class_02,0.928,0.36,81
iteraction_0.5,Class_02,0.928,0.454,65
Iteration_06,Class_02,0.932,0.549,59
Iteration_07,Class_02,0.931,0.644,49
iteration_08,Class_02,0.931,0.738,46
Iteration _0.9,Class_02,0.932,0.835,39
Iteration_1.0,Class_02,0.930 ,0.930 ,36
iteration_2.0,Class_02,0.929,2,28
