,Class_03,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_03,0.112,-0.016,38
Iteration_0.2,Class_03,0.13,-0.003,31
Iteration_0.3,Class_03,0.014,0.014,29
Iteration_0.4,Class_03,0.142,0.029,25
iteraction_0.5,Class_03,0.147,0.048,22
Iteration_06,Class_03,0.154,0.067,18
Iteration_07,Class_03,0.170 ,0.094,13
iteration_08,Class_03,0.185,0.127,10
Iteration _0.9,Class_03,0.194,0.155,8
Iteration_1.0,Class_03,0.84,0.184,6
iteration_2.0,Class_03,0.031,1.009,3
