,Class_00,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_00,0.216,-0.072,11
Iteration_0.2,Class_00,0.241,0.036,10
Iteration_0.3,Class_00,0.279,0.008,9
Iteration_0.4,Class_00,0.322,0.03,7
iteraction_0.5,Class_00,0.369,0.081,7
Iteration_06,Class_00,0.382,0.136,5
Iteration_07,Class_00,0.397 ,0.197,4
iteration_08,Class_00,0.420 ,0.275,4
Iteration _0.9,Class_00,0.416,0.340 ,4
Iteration_1.0,Class_00,0.415,0.415,4
iteration_2.0,Class_00,0.372,1.244,2
