,Precision,Recall,F1-Score,Accuracy
CDILLGS_00,0.97,0.95,0.96,0.96
CDILLGS_01,0.95,0.97,0.96,0.96
SVM_00,0.97,0.92,0.94,0.95
SVM_01,0.94,0.97,0.95,0.95
DT_00,0.94,0.95,0.94,0.95
DT_01,0.95,0.94,0.94,0.95
RT_00,0.94,0.95,0.94,0.95
RT_01,0.96,0.94,0.94,0.94
