,Precision,Recall,F1-Score,Accuracy
CDILLGS_00,0.86,0.86,0.86,0.9
CDILLGS_01,0.92,0.92,0.92,0.9
SVM_00,0.86,0.86,0.86,0.9
SVM_01,0.92,0.92,0.92,0.9
DT_00,0.88,1.00 ,0.93,0.95
DT_01,1.00 ,0.92,0.96,0.95
RT_00,0.88,1.00 ,0.93,0.95
RT_01,1,0.92,0.96,0.95
