,Precision,Recall,F1-Score,Accuracy
CDILLGS_00,0.92,0.92,0.92,0.91
CDILLGS_01,0.9,0.9,0.9,0.91
SVM_00,0.92,0.9,0.91,0.91
SVM_01,0.88,0.91,0.91,0.91
DT_00,0.88,0.78,0.82,0.82
DT_01,0.77,0.87,0.82,0.82
RT_00,0.88,0.78,0.82,0.82
RT_01,0.77,0.87,0.82,0.82
