,Class_00,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_00,0.3,-0.005,53
Iteration_0.2,Class_00,0.34,0.028,38
Iteration_0.3,Class_00,0.38,0.063,26
Iteration_0.4,Class_00,0.403,0.105,19
iteraction_0.5,Class_00,0.409,0.151,17
Iteration_06,Class_00,0.434,0.205,12
Iteration_07,Class_00,0.448,0.261,9
iteration_08,Class_00,0.474,0.327,6
Iteration _0.9,Class_00,0.489,0.415,6
Iteration_1.0,Class_00,0.442,0.442,3
iteration_2.0,Class_00,0.421,1.2,3
