,Precision,Recall,F1-Score,Accuracy
CDILLGS_00,0.98,0.94,0.96,0.96
CDILLGS_01,0.95,0.98,0.96,0.96
SVM_00,0.98,0.92,0.95,0.95
SVM_01,0.94,0.98,0.95,0.95
DT_00,0.93,0.95,0.94,0.94
DT_01,0.95,0.93,0.94,0.94
RT_00,0.93,0.95,0.94,0.94
RT_01,0.95,0.93,0.94,0.94
