,Class_00,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_00,0.114,-0.017,39
Iteration_0.2,Class_00,0.128,-0.003,31
Iteration_0.3,Class_00,0.129,-0.014,32
Iteration_0.4,Class_00,0.144,0.031,25
iteraction_0.5,Class_00,0.148,0.047,22
Iteration_06,Class_00,0.152,0.067,18
Iteration_07,Class_00,0.161,0.089,15
iteration_08,Class_00,0.170 ,0.114,11
Iteration _0.9,Class_00,0.171,0.140 ,8
Iteration_1.0,Class_00,0.197,0.197,5
iteration_2.0,Class_00,0.031,1.009,3
