,Class_01,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_01,0.298,-0.003,55
Iteration_0.2,Class_01,0.327,0.029,38
Iteration_0.3,Class_01,0.375,0.064,28
Iteration_0.4,Class_01,0.406,0.107,20
iteraction_0.5,Class_01,0.422,0.156,15
Iteration_06,Class_01,0.446,0.206,10
Iteration_07,Class_01,0.486,0.270 ,7
iteration_08,Class_01,0.484,0.334,5
Iteration _0.9,Class_01,0.482,0.408,5
Iteration_1.0,Class_01,0.480 ,0.480 ,5
iteration_2.0,Class_01,0.458,1.253,3
