,Class_03,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_03,0.193,-0.073,12
Iteration_0.2,Class_03,0.26,-0.058,9
Iteration_0.3,Class_03,0.268,-0.01,9
Iteration_0.4,Class_03,0.294,0.032,7
iteraction_0.5,Class_03,0.345,0.076,6
Iteration_06,Class_03,0.341,0.121,5
Iteration_07,Class_03,0.383,0.186,4
iteration_08,Class_03,0.374,0.243,4
Iteration _0.9,Class_03,0.416,0.340 ,4
Iteration_1.0,Class_03,0.416,0.416,4
iteration_2.0,Class_03,0.371,1.243,2
