,Class_02,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_02,0.301,-0.005,53
Iteration_0.2,Class_02,0.344,0.026,36
Iteration_0.3,Class_02,0.378,0.062,27
Iteration_0.4,Class_02,0.4,0.105,21
iteraction_0.5,Class_02,0.413,0.152,16
Iteration_06,Class_02,0.437,0.202,10
Iteration_07,Class_02,0.445,0.260 ,9
iteration_08,Class_02,0.476,0.336,7
Iteration _0.9,Class_02,0.486,0.414,7
Iteration_1.0,Class_02,0.478,0.478,5
iteration_2.0,Class_02,0.443,1.231,3
