,Precision,Recall,F1-Score,Accuracy
CDILLGS_00,0.89,1.00 ,0.94,0.95
CDILLGS_01,1.00 ,0.92,0.96,0.95
SVM_00,0.89,1.00 ,0.94,0.95
SVM_01,1.00 ,0.92,0.96,0.95
DT_00,0.89,1.00 ,0.94,0.95
DT_01,1.00 ,0.92,0.96,0.95
RT_00,0.89,1.00 ,0.94,0.95
RT_01,1.00 ,0.92,0.96,0.95
