,Class_02,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_02,0.299,-0.071,11
Iteration_0.2,Class_02,0.28,-0.048,10
Iteration_0.3,Class_02,0.237,-0.005,10
Iteration_0.4,Class_02,0.332,0.024,7
iteraction_0.5,Class_02,0.338,0.081,7
Iteration_06,Class_02,0.365,0.134,6
Iteration_07,Class_02,0.404,0.193,4
iteration_08,Class_02,0.420 ,0.274,4
Iteration _0.9,Class_02,0.334,0.320 ,4
Iteration_1.0,Class_02,0.420 ,0.420 ,4
iteration_2.0,Class_02,0.371,1.244,2
